DATASET_TITLE	Dwelling Stock by Council Tax Band, 2001										FROM	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001
AREA_TYPE	Super Output Area Lower Layer										TO	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001
GEO_HIERARCHY	NeSS Geography Hierarchy										HEADING	Dwelling Stock by Council Tax Band; Total	Dwelling Stock by Council Tax Band; Band A	Dwelling Stock by Council Tax Band; Band A	Dwelling Stock by Council Tax Band; Band B	Dwelling Stock by Council Tax Band; Band B	Dwelling Stock by Council Tax Band; Band C	Dwelling Stock by Council Tax Band; Band C	Dwelling Stock by Council Tax Band; Band D	Dwelling Stock by Council Tax Band; Band D	Dwelling Stock by Council Tax Band; Band E	Dwelling Stock by Council Tax Band; Band E	Dwelling Stock by Council Tax Band; Band F	Dwelling Stock by Council Tax Band; Band F	Dwelling Stock by Council Tax Band; Band G	Dwelling Stock by Council Tax Band; Band G	Dwelling Stock by Council Tax Band; Band H	Dwelling Stock by Council Tax Band; Band H	Dwelling Stock by Council Tax Band; Band X; Unallocated	Dwelling Stock by Council Tax Band; Band X; Unallocated
											MEASUREMENT_UNIT	Count	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage
											STATISTICAL_UNIT	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings
GOR_CODE	GOR_NAME	CTY_CODE	CTY_NAME	LA_CODE	LA_NAME	MSOA_CODE	MSOA_NAME	LSOA_CODE	LSOA_NAME	AREA_METADATA		DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE
H	London			00AC	Barnet	E02000045	Barnet 022	E01000156	Barnet 022A			689	3	0.44	57	8.27	128	18.58	166	24.09	178	25.83	123	17.85	34	4.93	0	0	0	0
H	London			00AC	Barnet	E02000045	Barnet 022	E01000157	Barnet 022B			688	0	0	70	10.17	324	47.09	109	15.84	154	22.38	29	4.22	2	0.29	0	0	0	0
H	London			00AC	Barnet	E02000038	Barnet 015	E01000158	Barnet 015A			583	3	0.51	33	5.66	249	42.71	36	6.17	179	30.7	78	13.38	5	0.86	0	0	0	0
H	London			00AC	Barnet	E02000038	Barnet 015	E01000159	Barnet 015B			641	10	1.56	44	6.86	135	21.06	64	9.98	41	6.4	257	40.09	87	13.57	3	0.47	0	0
H	London			00AC	Barnet	E02000038	Barnet 015	E01000160	Barnet 015C			640	3	0.47	27	4.22	118	18.44	86	13.44	177	27.66	165	25.78	62	9.69	2	0.31	0	0
H	London			00AC	Barnet	E02000038	Barnet 015	E01000161	Barnet 015D			587	5	0.85	17	2.9	146	24.87	72	12.27	240	40.89	82	13.97	25	4.26	0	0	0	0
H	London			00AC	Barnet	E02000038	Barnet 015	E01000162	Barnet 015E			542	1	0.18	17	3.14	94	17.34	50	9.23	343	63.28	31	5.72	5	0.92	1	0.18	0	0
H	London			00AC	Barnet	E02000045	Barnet 022	E01000163	Barnet 022C			762	0	0	209	27.43	336	44.09	177	23.23	39	5.12	0	0	1	0.13	0	0	0	0
H	London			00AC	Barnet	E02000045	Barnet 022	E01000164	Barnet 022D			637	1	0.16	68	10.68	280	43.96	88	13.81	183	28.73	15	2.35	2	0.31	0	0	0	0
H	London			00AC	Barnet	E02000045	Barnet 022	E01000165	Barnet 022E			630	0	0	1	0.16	118	18.73	79	12.54	217	34.44	111	17.62	103	16.35	1	0.16	0	0
H	London			00AC	Barnet	E02000026	Barnet 003	E01000166	Barnet 003A			615	0	0	12	1.95	102	16.59	202	32.85	144	23.41	108	17.56	37	6.02	10	1.63	0	0
H	London			00AC	Barnet	E02000025	Barnet 002	E01000167	Barnet 002A			551	0	0	12	2.18	195	35.39	291	52.81	48	8.71	4	0.73	1	0.18	0	0	0	0
H	London			00AC	Barnet	E02000026	Barnet 003	E01000168	Barnet 003B			590	0	0	0	0	5	0.85	8	1.36	122	20.68	309	52.37	146	24.75	0	0	0	0
