"","long","lat","order","hole","piece","group","id"
"306",514632.300431306,168576.315016166,5,FALSE,"1","ID44.1","ID44"
"307",513063.398946726,169482.12071062,6,FALSE,"1","ID44.1","ID44"
"308",513063.398946726,171293.732099529,7,FALSE,"1","ID44.1","ID44"
"309",516201.201915886,171293.732099529,1,FALSE,"1","ID45.1","ID45"
"310",517770.103400467,172199.537793983,2,FALSE,"1","ID45.1","ID45"
"311",519339.004885047,171293.732099529,3,FALSE,"1","ID45.1","ID45"
"312",519339.004885047,169482.12071062,4,FALSE,"1","ID45.1","ID45"
"313",517770.103400467,168576.315016166,5,FALSE,"1","ID45.1","ID45"
"314",516201.201915886,169482.12071062,6,FALSE,"1","ID45.1","ID45"
"315",516201.201915886,171293.732099529,7,FALSE,"1","ID45.1","ID45"
"316",519339.004885047,171293.732099529,1,FALSE,"1","ID46.1","ID46"
"317",520907.906369627,172199.537793983,2,FALSE,"1","ID46.1","ID46"
"318",522476.807854208,171293.732099529,3,FALSE,"1","ID46.1","ID46"
"319",522476.807854208,169482.12071062,4,FALSE,"1","ID46.1","ID46"
"320",520907.906369627,168576.315016166,5,FALSE,"1","ID46.1","ID46"
"321",519339.004885047,169482.12071062,6,FALSE,"1","ID46.1","ID46"
"322",519339.004885047,171293.732099529,7,FALSE,"1","ID46.1","ID46"
"323",522476.807854208,171293.732099529,1,FALSE,"1","ID47.1","ID47"
"324",524045.709338788,172199.537793983,2,FALSE,"1","ID47.1","ID47"
"325",525614.610823368,171293.732099529,3,FALSE,"1","ID47.1","ID47"
"326",525614.610823368,169482.12071062,4,FALSE,"1","ID47.1","ID47"
"327",524045.709338788,168576.315016166,5,FALSE,"1","ID47.1","ID47"
"328",522476.807854208,169482.12071062,6,FALSE,"1","ID47.1","ID47"
"329",522476.807854208,171293.732099529,7,FALSE,"1","ID47.1","ID47"
"330",525614.610823369,171293.732099529,1,FALSE,"1","ID48.1","ID48"
"331",527183.512307949,172199.537793983,2,FALSE,"1","ID48.1","ID48"
"332",528752.413792529,171293.732099529,3,FALSE,"1","ID48.1","ID48"
"333",528752.413792529,169482.12071062,4,FALSE,"1","ID48.1","ID48"
"334",527183.512307949,168576.315016166,5,FALSE,"1","ID48.1","ID48"
"335",525614.610823369,169482.12071062,6,FALSE,"1","ID48.1","ID48"
"336",525614.610823369,171293.732099529,7,FALSE,"1","ID48.1","ID48"
"337",528752.413792529,171293.732099529,1,FALSE,"1","ID49.1","ID49"
"338",530321.31527711,172199.537793983,2,FALSE,"1","ID49.1","ID49"
"339",531890.21676169,171293.732099529,3,FALSE,"1","ID49.1","ID49"
